Id,SalePrice
1459,143253.72349999
1460,151053.20164328345
1461,117922.06247064045
1462,190059.45806645905
1463,192649.31324713086
1464,191984.09490319478
1465,177972.11712357128
1466,180294.92861449264
1467,165990.00990230695
1468,164003.45045941373
1469,187992.87027364643
1470,123964.41461926064
1471,203884.20000095147
1472,94820.9264574057
1473,100392.50600826816
1474,154668.0672825723
1475,130451.66434994437
1476,328014.8783403784
1477,268490.3621802556
1478,277717.83233523706
1479,254120.3661782249
1480,531406.6637260427
1481,329759.7168118724
1482,210289.98793617735
1483,185891.30574680824
1484,169346.53805065923
1485,179080.65055406574
1486,190085.197994265
1487,362067.2845312285
1488,237335.19288322626
1489,199015.22116547966
1490,210012.61237428116
1491,189664.37125511028
1492,76956.50229725787
1493,185317.9825309876
1494,289848.6314639141
1495,275573.43417210085
1496,243209.6333251096
1497,191153.38573449643
1498,171827.595689847
1499,170932.9219549551
1500,153621.25720753075
1501,178748.61189169853
1502,141582.74169710686
1503,265150.36739177274
1504,231738.51962804602
1505,231599.32950917262
1506,174679.35605515694
1507,218604.22806685825
1508,195805.55816563976
1509,168633.7215872287
1510,148204.33979467806
1511,144979.81763603265
1512,184956.56297058825
1513,134799.20196636708
1514,147855.5031184175
1515,185147.16049809722
1516,155189.03816322415
1517,153323.99424766586
1518,125468.13850983555
1519,225400.47832133673
1520,135714.64799240208
1521,142052.05046949527
1522,160776.74231396345
1523,106608.40655178096
1524,130109.61723263982
1525,124990.18888599623
1526,114919.49006804476
1527,98797.52070149175
1528,137710.98343843277
1529,157740.13197808943
1530,174373.270651724
1531,103605.48648926872
1532,99480.52074444627
1533,150611.1669499454
1534,110387.00987199566
1535,145020.7494174571
1536,113772.84938654651
1537,72618.78100941703
1538,172970.58780071329
1539,208718.378271047
1540,81140.37875252386
1541,139145.8484186205
1542,132301.9264624886
1543,228992.8187447791
1544,81436.35982691273
1545,99988.42951420638
1546,137536.81686288078
1547,137754.32963010715
1548,141775.0110320196
1549,114223.37234011324
1550,133701.97948732466
1551,121221.7297678906
1552,121455.71072522
1553,151499.42327641352
1554,117587.74610768759
1555,155816.93614396013
1556,72265.54381676862
1557,97813.42044839138
1558,85817.53848571036
1559,77422.25367129165
1560,165005.77812008883
1561,113714.92393892499
1562,127724.18852196254
1563,124717.75677188046
1564,153908.52807494428
1565,138505.98590997353
1566,221924.8033219824
1567,74056.00173312186
1568,223390.81433001193
1569,126528.435832005
1570,125733.69592268634
1571,122811.4736020208
1572,143903.3047503549
1573,262308.06030365947
1574,105042.51349498417
1575,227794.41367612878
1576,218673.87055519715
